Number of sequences in alignment file:	3630
Neff:	443.49035766802706
Alignment sequence length:	329
|Train : Update 38000. Negative ELBO : 168073.531, BCE: 228.712, KLD_latent: 0.631, KLD_decoder_params_norm: 167844.188, Time: 1519.16 |
|Train : Update 39000. Negative ELBO : 164847.188, BCE: 229.373, KLD_latent: 0.700, KLD_decoder_params_norm: 164617.109, Time: 1558.26 |
|Train : Update 40000. Negative ELBO : 161620.750, BCE: 229.337, KLD_latent: 0.620, KLD_decoder_params_norm: 161390.781, Time: 1597.64 |
|Train : Update 41000. Negative ELBO : 158395.172, BCE: 229.271, KLD_latent: 0.622, KLD_decoder_params_norm: 158165.281, Time: 1636.69 |
|Train : Update 42000. Negative ELBO : 155170.828, BCE: 229.529, KLD_latent: 0.620, KLD_decoder_params_norm: 154940.672, Time: 1675.77 |
|Train : Update 43000. Negative ELBO : 151946.562, BCE: 228.956, KLD_latent: 0.599, KLD_decoder_params_norm: 151717.016, Time: 1714.83 |
|Train : Update 44000. Negative ELBO : 148724.875, BCE: 229.814, KLD_latent: 0.630, KLD_decoder_params_norm: 148494.438, Time: 1753.95 |
|Train : Update 45000. Negative ELBO : 145502.766, BCE: 229.060, KLD_latent: 0.568, KLD_decoder_params_norm: 145273.141, Time: 1793.03 |
|Train : Update 46000. Negative ELBO : 142282.469, BCE: 228.815, KLD_latent: 0.585, KLD_decoder_params_norm: 142053.078, Time: 1832.09 |
|Train : Update 47000. Negative ELBO : 139064.109, BCE: 229.005, KLD_latent: 0.561, KLD_decoder_params_norm: 138834.547, Time: 1871.11 |
|Train : Update 48000. Negative ELBO : 135847.125, BCE: 228.883, KLD_latent: 0.597, KLD_decoder_params_norm: 135617.656, Time: 1910.24 |
|Train : Update 49000. Negative ELBO : 132631.828, BCE: 228.742, KLD_latent: 0.556, KLD_decoder_params_norm: 132402.531, Time: 1949.29 |
|Train : Update 50000. Negative ELBO : 129418.867, BCE: 228.850, KLD_latent: 0.570, KLD_decoder_params_norm: 129189.445, Time: 1988.31 |
|Train : Update 51000. Negative ELBO : 126208.023, BCE: 229.005, KLD_latent: 0.539, KLD_decoder_params_norm: 125978.477, Time: 2027.33 |
|Train : Update 52000. Negative ELBO : 123000.109, BCE: 229.496, KLD_latent: 0.560, KLD_decoder_params_norm: 122770.055, Time: 2066.38 |
|Train : Update 53000. Negative ELBO : 119793.641, BCE: 228.916, KLD_latent: 0.523, KLD_decoder_params_norm: 119564.203, Time: 2105.48 |
|Train : Update 54000. Negative ELBO : 116591.000, BCE: 229.070, KLD_latent: 0.529, KLD_decoder_params_norm: 116361.398, Time: 2144.46 |
|Train : Update 55000. Negative ELBO : 113392.844, BCE: 229.238, KLD_latent: 0.538, KLD_decoder_params_norm: 113163.070, Time: 2183.44 |
|Train : Update 56000. Negative ELBO : 110211.820, BCE: 228.915, KLD_latent: 0.542, KLD_decoder_params_norm: 109982.367, Time: 2222.34 |
|Train : Update 57000. Negative ELBO : 107034.812, BCE: 228.746, KLD_latent: 0.514, KLD_decoder_params_norm: 106805.555, Time: 2261.20 |
|Train : Update 58000. Negative ELBO : 103862.484, BCE: 228.689, KLD_latent: 0.520, KLD_decoder_params_norm: 103633.273, Time: 2300.13 |
